id,date,time,lat,long,X,Y,Z,behavior,context
716739,2021.05.14,19:36:31,10.344217,-85.342562,0.148,0.113,0.59,inactive resting,in_park
716739,2021.05.15,19:36:32,10.343719,-85.342296,0.148,0.113,0.59,swimming,in_park
716739,2021.05.16,19:36:33,10.34358,-85.342489,0.148,0.113,0.59,inactive resting,in_park
716739,2021.05.17,19:36:34,10.343601,-85.342521,0.973,1.027,-1.977,gaping,in_park
716739,2021.05.18,19:36:35,10.343065,-85.342682,0.973,1.027,-1.977,gaping,in_park
716739,2021.05.19,19:36:36,10.339589,-85.345117,0.797,1.336,-2.461,swimming,in_park
716739,2021.05.20,19:36:37,10.33946,-85.345021,0.797,1.336,-2.461,swimming,in_park
716739,2021.05.21,19:36:38,10.339556,-85.344173,0.016,1.969,-3.246,walking,in_park
716739,2021.05.22,19:36:39,10.338913,-85.345353,-0.336,0.383,-2.234,inactive resting,in_park
716739,2021.05.23,19:36:40,10.340329,-85.346298,-0.336,0.383,-2.234,swimming,in_park
716739,2021.05.24,19:36:41,10.340651,-85.346448,-0.336,0.383,-2.234,swimming,in_park
716739,2021.05.25,19:36:42,10.339589,-85.345911,0.801,0.082,-2.078,swimming,in_park
716739,2021.05.26,19:36:43,10.33991,-85.346094,0.801,0.082,-2.078,walking,in_park
716739,2021.05.27,19:36:44,10.33961,-85.346062,0.801,0.082,-2.078,walking,in_park
716739,2021.05.28,19:36:45,10.339546,-85.345954,0.801,0.082,-2.078,inactive resting,in_park
716739,2021.05.29,19:36:46,10.339556,-85.345901,0.664,0.105,-2.348,inactive resting,in_park
716739,2021.05.30,19:36:47,10.339513,-85.3456,0.664,0.105,-2.348,swimming,in_park
716739,2021.05.31,19:36:48,10.341412,-85.349978,0.664,0.105,-2.348,gaping,in_park
716739,2021.05.32,19:36:49,10.341541,-85.349731,0.664,0.105,-2.348,swimming,in_park
716739,2021.05.33,19:36:50,10.341842,-85.347982,0.664,0.105,-2.348,swimming,in_park
716739,2021.05.34,19:36:51,10.339642,-85.345965,0.664,0.105,-2.348,walking,in_park
716739,2021.05.35,19:36:52,10.339631,-85.345965,-0.297,-0.801,0.027,walking,travel
716739,2021.05.36,19:36:53,10.339009,-85.34486,-0.297,-0.801,0.027,walking,travel
716739,2021.05.37,19:36:54,10.338945,-85.345439,0.129,1.602,-2.02,walking,travel
716739,2021.05.38,19:36:55,10.339621,-85.345718,0.129,1.602,-2.02,swimming,travel
716739,2021.05.39,19:36:56,10.339621,-85.345976,-0.094,-0.324,-0.844,swimming,travel
716739,2021.05.40,19:36:57,10.338966,-85.343744,-0.094,-0.324,-0.844,swimming,travel
716739,2021.05.41,19:36:58,10.338784,-85.34515,-0.094,-0.324,-0.844,swimming,travel
716739,2021.05.42,19:36:59,10.339234,-85.345547,0.559,-0.531,-0.336,swimming,travel
716739,2021.05.43,19:37:00,10.339556,-85.346019,0.559,-0.531,-0.336,swimming,travel
